STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,MLY-GRDD-BASE40,Completeness Flag,MLY-GRDD-BASE45,Completeness Flag,MLY-GRDD-BASE50,Completeness Flag,MLY-GRDD-BASE55,Completeness Flag,MLY-GRDD-BASE57,Completeness Flag,MLY-GRDD-BASE60,Completeness Flag,MLY-GRDD-BASE65,Completeness Flag,MLY-GRDD-BASE70,Completeness Flag,MLY-GRDD-BASE72,Completeness Flag,MLY-GRDD-TB4886,Completeness Flag,MLY-GRDD-TB5086,Completeness Flag,MLY-TMIN-PRBOCC-LSTH016,Completeness Flag,MLY-TMIN-PRBOCC-LSTH020,Completeness Flag,MLY-TMIN-PRBOCC-LSTH024,Completeness Flag,MLY-TMIN-PRBOCC-LSTH028,Completeness Flag,MLY-TMIN-PRBOCC-LSTH032,Completeness Flag,MLY-TMIN-PRBOCC-LSTH036,Completeness Flag,MLY-CLDD-BASE45,Completeness Flag,MLY-CLDD-BASE50,Completeness Flag,MLY-CLDD-BASE55,Completeness Flag,MLY-CLDD-BASE57,Completeness Flag,MLY-CLDD-BASE60,Completeness Flag,MLY-CLDD-NORMAL,Completeness Flag,MLY-CLDD-BASE70,Completeness Flag,MLY-CLDD-BASE72,Completeness Flag,MLY-HTDD-BASE40,Completeness Flag,MLY-HTDD-BASE45,Completeness Flag,MLY-HTDD-BASE50,Completeness Flag,MLY-HTDD-BASE55,Completeness Flag,MLY-HTDD-BASE57,Completeness Flag,MLY-HTDD-BASE60,Completeness Flag,MLY-HTDD-NORMAL,Completeness Flag,MLY-PRCP-25PCTL,Completeness Flag,MLY-SNOW-25PCTL,Completeness Flag,MLY-PRCP-50PCTL,Completeness Flag,MLY-SNOW-50PCTL,Completeness Flag,MLY-PRCP-75PCTL,Completeness Flag,MLY-SNOW-75PCTL,Completeness Flag,MLY-PRCP-NORMAL,Completeness Flag,MLY-SNOW-NORMAL,Completeness Flag,MLY-SNOW-AVGNDS-GE001TI,Completeness Flag,MLY-SNOW-AVGNDS-GE010TI,Completeness Flag,MLY-SNOW-AVGNDS-GE100TI,Completeness Flag,MLY-SNOW-AVGNDS-GE030TI,Completeness Flag,MLY-SNOW-AVGNDS-GE050TI,Completeness Flag,MLY-PRCP-AVGNDS-GE001HI,Completeness Flag,MLY-PRCP-AVGNDS-GE010HI,Completeness Flag,MLY-PRCP-AVGNDS-GE050HI,Completeness Flag,MLY-PRCP-AVGNDS-GE100HI,Completeness Flag,MLY-SNWD-AVGNDS-GE001WI,Completeness Flag,MLY-SNWD-AVGNDS-GE010WI,Completeness Flag,MLY-SNWD-AVGNDS-GE003WI,Completeness Flag,MLY-SNWD-AVGNDS-GE005WI,Completeness Flag,MLY-TMAX-AVGNDS-GRTH100,Completeness Flag,MLY-TMAX-AVGNDS-GRTH040,Completeness Flag,MLY-TMAX-AVGNDS-GRTH050,Completeness Flag,MLY-TMAX-AVGNDS-GRTH060,Completeness Flag,MLY-TMAX-AVGNDS-GRTH070,Completeness Flag,MLY-TMAX-AVGNDS-GRTH080,Completeness Flag,MLY-TMAX-AVGNDS-GRTH090,Completeness Flag,MLY-TMAX-AVGNDS-LSTH032,Completeness Flag,MLY-TMIN-AVGNDS-LSTH000,Completeness Flag,MLY-TMIN-AVGNDS-LSTH010,Completeness Flag,MLY-TMIN-AVGNDS-LSTH020,Completeness Flag,MLY-TMIN-AVGNDS-LSTH032,Completeness Flag,MLY-TMIN-AVGNDS-LSTH040,Completeness Flag,MLY-TMIN-AVGNDS-LSTH050,Completeness Flag,MLY-TMIN-AVGNDS-LSTH060,Completeness Flag,MLY-TMIN-AVGNDS-LSTH070,Completeness Flag,MLY-TAVG-NORMAL,Completeness Flag,MLY-DUTR-NORMAL,Completeness Flag,MLY-TMAX-NORMAL,Completeness Flag,MLY-TMIN-NORMAL,Completeness Flag,MLY-TAVG-STDDEV,Completeness Flag,MLY-DUTR-STDDEV,Completeness Flag,MLY-TMAX-STDDEV,Completeness Flag,MLY-TMIN-STDDEV,Completeness Flag
GHCND:USW00004128,RILEY 10 WSW OR US,1396.9,43.4711,-119.6917,201011,32,Q,12,Q,2,Q,-7777,Q,-7777,Q,0,Q,0,Q,0,Q,0,Q,38,Q,28,Q,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,12,Q,2,Q,-7777,Q,-7777,Q,0,Q,0,Q,0,Q,0,Q,217,Q,345,Q,485,Q,633,Q,693,Q,783,Q,933,Q,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,120,Q,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,0,Q,208,Q,88,Q,21,Q,0,Q,0,Q,0,Q,25,Q,1,Q,19,Q,109,Q,259,Q,290,Q,300,Q,300,Q,300,Q,339,Q,220,Q,449,Q,229,Q,-9999, ,-9999, ,-9999, ,-9999, 
GHCND:USW00004128,RILEY 10 WSW OR US,1396.9,43.4711,-119.6917,201012,3,Q,-7777,Q,0,Q,0,Q,0,Q,0,Q,0,Q,0,Q,0,Q,2,Q,1,Q,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-7777,Q,0,Q,0,Q,0,Q,0,Q,0,Q,0,Q,0,Q,447,Q,600,Q,754,Q,909,Q,971,Q,1064,Q,1219,Q,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,152,Q,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,0,Q,92,Q,6,Q,0,Q,0,Q,0,Q,0,Q,108,Q,24,Q,89,Q,186,Q,289,Q,307,Q,310,Q,310,Q,310,Q,257,Q,181,Q,347,Q,166,Q,-9999, ,-9999, ,-9999, ,-9999, 
GHCND:USC00354501,KLAMATH FALLS 1 NW OR US,1295.4,42.2303,-121.76306,201001,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,275,Q,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, 
GHCND:USC00354501,KLAMATH FALLS 1 NW OR US,1295.4,42.2303,-121.76306,201002,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,224,Q,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, 
GHCND:USC00354501,KLAMATH FALLS 1 NW OR US,1295.4,42.2303,-121.76306,201003,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,153,Q,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, 
GHCND:USC00354501,KLAMATH FALLS 1 NW OR US,1295.4,42.2303,-121.76306,201004,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,120,Q,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, 
GHCND:USC00354501,KLAMATH FALLS 1 NW OR US,1295.4,42.2303,-121.76306,201005,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,135,Q,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, 
GHCND:USC00354501,KLAMATH FALLS 1 NW OR US,1295.4,42.2303,-121.76306,201006,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,151,Q,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, 
GHCND:USC00354501,KLAMATH FALLS 1 NW OR US,1295.4,42.2303,-121.76306,201007,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,51,Q,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, 
GHCND:USC00354501,KLAMATH FALLS 1 NW OR US,1295.4,42.2303,-121.76306,201008,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,59,Q,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, 
