"datatype","county","station_id","annual_total","months"
"MLY-GRDD-BASE50","Douglas","GHCND:USC00358536",2067,12
"MLY-GRDD-BASE50","Douglas","GHCND:USC00359461",2539,12
"MLY-GRDD-BASE50","Douglas","GHCND:USW00024231",2779,12
"MLY-GRDD-BASE50","Gilliam","GHCND:USC00350265",3267,12
"MLY-GRDD-BASE50","Gilliam","GHCND:USC00351765",1870,12
"MLY-GRDD-BASE50","Grant","GHCND:USC00350356",1133,12
"MLY-GRDD-BASE50","Grant","GHCND:USC00352173",2774,12
"MLY-GRDD-BASE50","Grant","GHCND:USC00354291",2145,12
"MLY-GRDD-BASE50","Grant","GHCND:USC00355020",1704,12
"MLY-GRDD-BASE50","Grant","GHCND:USC00355711",2558,12
"MLY-GRDD-BASE50","Grant","GHCND:USC00357675",891,12
"MLY-GRDD-BASE50","Grant","GHCND:USW00004125",2731,12
"MLY-GRDD-BASE50","Harney","GHCND:USC00352415",1915,12
"MLY-GRDD-BASE50","Harney","GHCND:USC00352876",2597,12
"MLY-GRDD-BASE50","Harney","GHCND:USC00355162",1753,12
"MLY-GRDD-BASE50","Harney","GHCND:USC00356302",1706,12
"MLY-GRDD-BASE50","Harney","GHCND:USC00356853",1811,12
"MLY-GRDD-BASE50","Harney","GHCND:USC00358029",1894,12
"MLY-GRDD-BASE50","Harney","GHCND:USC00359290",2309,12
"MLY-GRDD-BASE50","Harney","GHCND:USW00004128",1697,12
"MLY-GRDD-BASE50","Harney","GHCND:USW00094185",1630,12
"MLY-GRDD-BASE50","Hood River","GHCND:USC00354003",2250,12
"MLY-GRDD-BASE50","Hood River","GHCND:USC00356466",1741,12
"MLY-GRDD-BASE50","Jackson","GHCND:USC00350304",2290,12
"MLY-GRDD-BASE50","Jackson","GHCND:USC00354060",1386,12
"MLY-GRDD-BASE50","Jackson","GHCND:USC00355055",2492,12
"MLY-GRDD-BASE50","Jackson","GHCND:USC00356907",2273,12
"MLY-GRDD-BASE50","Jackson","GHCND:USC00357391",2625,12
"MLY-GRDD-BASE50","Jackson","GHCND:USW00024225",3214,12
"MLY-GRDD-BASE50","Jefferson","GHCND:USC00350197",1907,12
"MLY-GRDD-BASE50","Jefferson","GHCND:USC00353542",1321,12
"MLY-GRDD-BASE50","Jefferson","GHCND:USC00355139",1753,12
"MLY-GRDD-BASE50","Jefferson","GHCND:USC00355142",2076,12
"MLY-GRDD-BASE50","Jefferson","GHCND:USC00356532",2623,12
"MLY-GRDD-BASE50","Josephine","GHCND:USC00351448",3091,12
"MLY-GRDD-BASE50","Josephine","GHCND:USC00353445",2884,12
"MLY-GRDD-BASE50","Josephine","GHCND:USW00024235",1741,12
"MLY-GRDD-BASE50","Klamath","GHCND:USC00351546",1040,12
"MLY-GRDD-BASE50","Klamath","GHCND:USC00351574",1369,12
"MLY-GRDD-BASE50","Klamath","GHCND:USC00351946",523,12
"MLY-GRDD-BASE50","Klamath","GHCND:USC00353232",1661,12
"MLY-GRDD-BASE50","Klamath","GHCND:USC00356252",853,12
"MLY-GRDD-BASE50","Klamath","GHCND:USW00094236",1629,12
"MLY-GRDD-BASE50","Lake","GHCND:USC00350036",2280,12
"MLY-GRDD-BASE50","Lake","GHCND:USC00350118",1701,12
"MLY-GRDD-BASE50","Lake","GHCND:USC00350856",1675,12
"MLY-GRDD-BASE50","Lake","GHCND:USC00353692",1349,12
"MLY-GRDD-BASE50","Lake","GHCND:USC00354670",1829,12
"MLY-GRDD-BASE50","Lake","GHCND:USC00356426",1899,12
"MLY-GRDD-BASE50","Lake","GHCND:USC00357817",1496,12
"MLY-GRDD-BASE50","Lake","GHCND:USC00358173",2310,12
"MLY-GRDD-BASE50","Lake","GHCND:USC00358420",1448,12
"MLY-GRDD-BASE50","Lane","GHCND:USC00351897",2184,12
"MLY-GRDD-BASE50","Lane","GHCND:USC00351902",1987,12
"MLY-GRDD-BASE50","Lane","GHCND:USC00351914",2380,12
"MLY-GRDD-BASE50","Lane","GHCND:USC00352374",1974,12
"MLY-GRDD-BASE50","Lane","GHCND:USC00352867",2416,12
"MLY-GRDD-BASE50","Lane","GHCND:USC00352973",1259,12
"MLY-GRDD-BASE50","Lane","GHCND:USC00353995",1206,12
"MLY-GRDD-BASE50","Lane","GHCND:USC00354811",2187,12
"MLY-GRDD-BASE50","Lane","GHCND:USC00355050",2191,12
"MLY-GRDD-BASE50","Lane","GHCND:USC00355204",1849,12
"MLY-GRDD-BASE50","Lane","GHCND:USC00355362",2252,12
"MLY-GRDD-BASE50","Lane","GHCND:USC00356213",1915,12
"MLY-GRDD-BASE50","Lane","GHCND:USW00024221",2138,12
"MLY-GRDD-BASE50","Lincoln","GHCND:USC00350145",1579,12
"MLY-GRDD-BASE50","Lincoln","GHCND:USC00356366",1466,12
"MLY-GRDD-BASE50","Lincoln","GHCND:USW00024285",1256,12
"MLY-GRDD-BASE50","Linn","GHCND:USC00350652",1862,12
"MLY-GRDD-BASE50","Linn","GHCND:USC00351433",1655,12
"MLY-GRDD-BASE50","Linn","GHCND:USC00353047",2016,12
"MLY-GRDD-BASE50","Linn","GHCND:USC00354606",1918,12
"MLY-GRDD-BASE50","Linn","GHCND:USC00354819",2569,12
"MLY-GRDD-BASE50","Linn","GHCND:USC00355221",1477,12
"MLY-GRDD-BASE50","Linn","GHCND:USC00357554",941,12
"MLY-GRDD-BASE50","Malheur","GHCND:USC00350723",2356,12
"MLY-GRDD-BASE50","Malheur","GHCND:USC00352135",1803,12
"MLY-GRDD-BASE50","Malheur","GHCND:USC00355160",2898,12
"MLY-GRDD-BASE50","Malheur","GHCND:USC00355335",2444,12
"MLY-GRDD-BASE50","Malheur","GHCND:USC00356179",2915,12
"MLY-GRDD-BASE50","Malheur","GHCND:USC00356405",2739,12
"MLY-GRDD-BASE50","Malheur","GHCND:USC00357208",2128,12
"MLY-GRDD-BASE50","Malheur","GHCND:USC00357277",2000,12
"MLY-GRDD-BASE50","Malheur","GHCND:USC00357310",2422,12
"MLY-GRDD-BASE50","Malheur","GHCND:USC00358797",2995,12
"MLY-GRDD-BASE50","Malheur","GHCND:USC00359176",2670,12
"MLY-GRDD-BASE50","Malheur","GHCND:USW00024162",2965,12
"MLY-GRDD-BASE50","Malheur","GHCND:USW00094107",2286,12
"MLY-GRDD-BASE50","Marion","GHCND:USC00352292",2058,12
"MLY-GRDD-BASE50","Marion","GHCND:USC00357809",1269,12
"MLY-GRDD-BASE50","Marion","GHCND:USC00357823",2255,12
"MLY-GRDD-BASE50","Marion","GHCND:USC00358095",2200,12
"MLY-GRDD-BASE50","Marion","GHCND:USW00024232",2283,12
"MLY-GRDD-BASE50","Marion","GHCND:USW00094281",2423,12
"MLY-GRDD-BASE50","Morrow","GHCND:USC00350858",3024,12
"MLY-GRDD-BASE50","Morrow","GHCND:USC00353827",2382,12
"MLY-GRDD-BASE50","Multnomah","GHCND:USC00350897",2513,12
"MLY-GRDD-BASE50","Multnomah","GHCND:USC00356749",2616,12
"MLY-GRDD-BASE50","Multnomah","GHCND:USC00356750",2525,12
"MLY-GRDD-BASE50","Multnomah","GHCND:USW00024229",2646,12
"MLY-GRDD-BASE50","Multnomah","GHCND:USW00024242",2384,12
"MLY-GRDD-BASE50","Polk","GHCND:USC00352112",2260,12
"MLY-GRDD-BASE50","Polk","GHCND:USC00352800",1892,12
"MLY-GRDD-BASE50","Polk","GHCND:USC00354776",1040,12
"MLY-GRDD-BASE50","Sherman","GHCND:USC00355734",2110,12
"MLY-GRDD-BASE50","Tillamook","GHCND:USC00351682",1683,12
"MLY-GRDD-BASE50","Tillamook","GHCND:USC00358494",1358,12
"MLY-GRDD-BASE50","Tillamook","GHCND:USC00358498",1340,12
"MLY-GRDD-BASE50","Umatilla","GHCND:USC00353818",2797,12
"MLY-GRDD-BASE50","Umatilla","GHCND:USC00355392",3011,12
"MLY-GRDD-BASE50","Umatilla","GHCND:USC00355593",3201,12
"MLY-GRDD-BASE50","Umatilla","GHCND:USC00356540",2349,12
"MLY-GRDD-BASE50","Umatilla","GHCND:USC00356541",2825,12
"MLY-GRDD-BASE50","Umatilla","GHCND:USC00356550",2797,12
"MLY-GRDD-BASE50","Umatilla","GHCND:USC00356634",2570,12
"MLY-GRDD-BASE50","Umatilla","GHCND:USC00358726",1138,12
"MLY-GRDD-BASE50","Umatilla","GHCND:USW00004113",2835,12
"MLY-GRDD-BASE50","Umatilla","GHCND:USW00024152",839,12
"MLY-GRDD-BASE50","Umatilla","GHCND:USW00024155",2726,12
"MLY-GRDD-BASE50","Union","GHCND:USC00351926",1907,12
"MLY-GRDD-BASE50","Union","GHCND:USC00354622",2174,12
"MLY-GRDD-BASE50","Union","GHCND:USC00358746",2002,12
"MLY-GRDD-BASE50","Union","GHCND:USW00024148",2284,12
"MLY-GRDD-BASE50","Wallowa","GHCND:USC00352678",1522,12
"MLY-GRDD-BASE50","Wallowa","GHCND:USC00354329",1627,12
"MLY-GRDD-BASE50","Wallowa","GHCND:USC00358997",1821,12
"MLY-GRDD-BASE50","Wasco","GHCND:USC00352440",2328,12
"MLY-GRDD-BASE50","Wasco","GHCND:USC00358407",2955,12
"MLY-GRDD-BASE50","Washington","GHCND:USC00352997",2259,12
"MLY-GRDD-BASE50","Washington","GHCND:USC00355945",2599,12
"MLY-GRDD-BASE50","Washington","GHCND:USW00094261",1994,12
"MLY-GRDD-BASE50","Wheeler","GHCND:USC00353038",2457,12
"MLY-GRDD-BASE50","Wheeler","GHCND:USC00355638",1920,12
"MLY-GRDD-BASE50","Yamhill","GHCND:USC00355384",2330,12
"MLY-GRDD-BASE50","Yamhill","GHCND:USW00094273",2046,12
"MLY-PRCP-NORMAL","Baker","GHCND:USC00353604",2187,12
"MLY-PRCP-NORMAL","Baker","GHCND:USC00354098",1404,12
"MLY-PRCP-NORMAL","Baker","GHCND:USC00357160",1500,12
"MLY-PRCP-NORMAL","Baker","GHCND:USC00357250",2009,12
"MLY-PRCP-NORMAL","Baker","GHCND:USW00024130",1013,12
"MLY-PRCP-NORMAL","Benton","GHCND:USC00351862",4271,12
"MLY-PRCP-NORMAL","Benton","GHCND:USC00351877",6725,12
"MLY-PRCP-NORMAL","Benton","GHCND:USC00358182",6590,12
"MLY-PRCP-NORMAL","Clackamas","GHCND:USC00352493",6086,12
"MLY-PRCP-NORMAL","Clackamas","GHCND:USC00352693",5823,12
"MLY-PRCP-NORMAL","Clackamas","GHCND:USC00353402",8728,12
"MLY-PRCP-NORMAL","Clackamas","GHCND:USC00353770",7829,12
"MLY-PRCP-NORMAL","Clackamas","GHCND:USC00355681",4741,12
"MLY-PRCP-NORMAL","Clackamas","GHCND:USC00356334",4421,12
"MLY-PRCP-NORMAL","Clackamas","GHCND:USC00357631",8086,12
"MLY-PRCP-NORMAL","Clackamas","GHCND:USC00358466",7052,12
"MLY-PRCP-NORMAL","Clatsop","GHCND:USC00353014",8229,12
"MLY-PRCP-NORMAL","Clatsop","GHCND:USC00355971",11888,12
"MLY-PRCP-NORMAL","Clatsop","GHCND:USC00357641",7535,12
"MLY-PRCP-NORMAL","Clatsop","GHCND:USW00094224",6726,12
"MLY-PRCP-NORMAL","Columbia","GHCND:USC00351643",5339,12
"MLY-PRCP-NORMAL","Columbia","GHCND:USC00357466",4664,12
"MLY-PRCP-NORMAL","Columbia","GHCND:USC00358884",4820,12
"MLY-PRCP-NORMAL","Columbia","GHCND:USW00004201",4283,12
"MLY-PRCP-NORMAL","Coos","GHCND:USC00350471",5871,12
"MLY-PRCP-NORMAL","Coos","GHCND:USC00351836",5575,12
"MLY-PRCP-NORMAL","Coos","GHCND:USC00352775",7157,12
"MLY-PRCP-NORMAL","Coos","GHCND:USC00356820",5884,12
"MLY-PRCP-NORMAL","Coos","GHCND:USW00024284",6491,12
"MLY-PRCP-NORMAL","Crook","GHCND:USC00350501",1380,12
"MLY-PRCP-NORMAL","Crook","GHCND:USC00356883",1068,12
"MLY-PRCP-NORMAL","Curry","GHCND:USC00351058",8436,12
"MLY-PRCP-NORMAL","Curry","GHCND:USC00353356",7706,12
"MLY-PRCP-NORMAL","Curry","GHCND:USC00354721",7029,12
"MLY-PRCP-NORMAL","Curry","GHCND:USC00356784",7261,12
"MLY-PRCP-NORMAL","Curry","GHCND:USC00356795",11790,12
"MLY-PRCP-NORMAL","Deschutes","GHCND:USC00350694",1136,12
"MLY-PRCP-NORMAL","Deschutes","GHCND:USC00350699",996,12
"MLY-PRCP-NORMAL","Deschutes","GHCND:USC00351067",910,12
"MLY-PRCP-NORMAL","Deschutes","GHCND:USC00357050",1064,12
"MLY-PRCP-NORMAL","Deschutes","GHCND:USC00357857",1353,12
"MLY-PRCP-NORMAL","Deschutes","GHCND:USC00358246",1837,12
"MLY-PRCP-NORMAL","Deschutes","GHCND:USC00359316",2132,12
"MLY-PRCP-NORMAL","Deschutes","GHCND:USW00024230",890,12
"MLY-PRCP-NORMAL","Douglas","GHCND:USC00351354",3420,12
"MLY-PRCP-NORMAL","Douglas","GHCND:USC00352010",4930,12
"MLY-PRCP-NORMAL","Douglas","GHCND:USC00352406",4792,12
"MLY-PRCP-NORMAL","Douglas","GHCND:USC00353193",6979,12
"MLY-PRCP-NORMAL","Douglas","GHCND:USC00354126",6166,12
"MLY-PRCP-NORMAL","Douglas","GHCND:USC00354835",6598,12
"MLY-PRCP-NORMAL","Douglas","GHCND:USC00355026",3817,12
"MLY-PRCP-NORMAL","Douglas","GHCND:USC00356200",3985,12
"MLY-PRCP-NORMAL","Douglas","GHCND:USC00357169",3115,12
"MLY-PRCP-NORMAL","Douglas","GHCND:USC00357331",3370,12
"MLY-PRCP-NORMAL","Douglas","GHCND:USC00357940",3643,12
"MLY-PRCP-NORMAL","Douglas","GHCND:USC00358260",4003,12
"MLY-PRCP-NORMAL","Douglas","GHCND:USC00358536",4832,12
"MLY-PRCP-NORMAL","Douglas","GHCND:USC00358788",4006,12
"MLY-PRCP-NORMAL","Douglas","GHCND:USC00359461",3636,12
"MLY-PRCP-NORMAL","Douglas","GHCND:USW00024231",3626,12
"MLY-PRCP-NORMAL","Gilliam","GHCND:USC00350265",925,12
"MLY-PRCP-NORMAL","Gilliam","GHCND:USC00351765",1449,12
"MLY-PRCP-NORMAL","Grant","GHCND:USC00350356",2110,12
"MLY-PRCP-NORMAL","Grant","GHCND:USC00352173",1323,12
"MLY-PRCP-NORMAL","Grant","GHCND:USC00354291",1317,12
"MLY-PRCP-NORMAL","Grant","GHCND:USC00355020",1794,12
"MLY-PRCP-NORMAL","Grant","GHCND:USC00355711",1461,12
"MLY-PRCP-NORMAL","Grant","GHCND:USC00357675",1384,12
"MLY-PRCP-NORMAL","Grant","GHCND:USW00004125",1262,12
"MLY-PRCP-NORMAL","Harney","GHCND:USC00352415",1125,12
"MLY-PRCP-NORMAL","Harney","GHCND:USC00352876",905,12
"MLY-PRCP-NORMAL","Harney","GHCND:USC00355162",997,12
"MLY-PRCP-NORMAL","Harney","GHCND:USC00356302",976,12
"MLY-PRCP-NORMAL","Harney","GHCND:USC00356853",1180,12
"MLY-PRCP-NORMAL","Harney","GHCND:USC00358029",1166,12
"MLY-PRCP-NORMAL","Harney","GHCND:USW00004128",1143,12
"MLY-PRCP-NORMAL","Harney","GHCND:USW00094185",1092,12
"MLY-PRCP-NORMAL","Hood River","GHCND:USC00354003",3129,12
"MLY-PRCP-NORMAL","Hood River","GHCND:USC00356466",3410,12
"MLY-PRCP-NORMAL","Jackson","GHCND:USC00350217",2570,12
"MLY-PRCP-NORMAL","Jackson","GHCND:USC00350304",2000,12
"MLY-PRCP-NORMAL","Jackson","GHCND:USC00351149",2383,12
"MLY-PRCP-NORMAL","Jackson","GHCND:USC00353509",2358,12
"MLY-PRCP-NORMAL","Jackson","GHCND:USC00354060",3145,12
"MLY-PRCP-NORMAL","Jackson","GHCND:USC00355055",3304,12
"MLY-PRCP-NORMAL","Jackson","GHCND:USC00356907",4192,12
"MLY-PRCP-NORMAL","Jackson","GHCND:USC00357391",2512,12
"MLY-PRCP-NORMAL","Jackson","GHCND:USW00024225",1835,12
"MLY-PRCP-NORMAL","Jefferson","GHCND:USC00350197",1419,12
"MLY-PRCP-NORMAL","Jefferson","GHCND:USC00350312",1374,12
"MLY-PRCP-NORMAL","Jefferson","GHCND:USC00353542",1396,12
"MLY-PRCP-NORMAL","Jefferson","GHCND:USC00355080",1112,12
"MLY-PRCP-NORMAL","Jefferson","GHCND:USC00355139",1045,12
"MLY-PRCP-NORMAL","Jefferson","GHCND:USC00355142",1213,12
"MLY-PRCP-NORMAL","Jefferson","GHCND:USC00356532",1116,12
"MLY-PRCP-NORMAL","Josephine","GHCND:USC00351448",6287,12
"MLY-PRCP-NORMAL","Josephine","GHCND:USC00353445",3098,12
"MLY-PRCP-NORMAL","Josephine","GHCND:USC00359390",3249,12
"MLY-PRCP-NORMAL","Josephine","GHCND:USW00024235",3516,12
"MLY-PRCP-NORMAL","Klamath","GHCND:USC00351546",2579,12
"MLY-PRCP-NORMAL","Klamath","GHCND:USC00351574",2078,12
"MLY-PRCP-NORMAL","Klamath","GHCND:USC00351946",6621,12
"MLY-PRCP-NORMAL","Klamath","GHCND:USC00354403",1981,12
"MLY-PRCP-NORMAL","Klamath","GHCND:USC00354501",1965,12
"MLY-PRCP-NORMAL","Klamath","GHCND:USC00356252",3445,12
"MLY-PRCP-NORMAL","Klamath","GHCND:USW00094236",1496,12
"MLY-PRCP-NORMAL","Lake","GHCND:USC00350036",982,12
"MLY-PRCP-NORMAL","Lake","GHCND:USC00350118",803,12
"MLY-PRCP-NORMAL","Lake","GHCND:USC00350856",1508,12
"MLY-PRCP-NORMAL","Lake","GHCND:USC00353692",1253,12
"MLY-PRCP-NORMAL","Lake","GHCND:USC00354670",1467,12
"MLY-PRCP-NORMAL","Lake","GHCND:USC00356426",1106,12
"MLY-PRCP-NORMAL","Lake","GHCND:USC00357817",1036,12
"MLY-PRCP-NORMAL","Lake","GHCND:USC00358173",1331,12
"MLY-PRCP-NORMAL","Lake","GHCND:USC00358420",1184,12
"MLY-PRCP-NORMAL","Lane","GHCND:USC00351897",4628,12
"MLY-PRCP-NORMAL","Lane","GHCND:USC00351902",4813,12
"MLY-PRCP-NORMAL","Lane","GHCND:USC00351914",7033,12
"MLY-PRCP-NORMAL","Lane","GHCND:USC00352374",4728,12
"MLY-PRCP-NORMAL","Lane","GHCND:USC00352867",4704,12
"MLY-PRCP-NORMAL","Lane","GHCND:USC00352972",8002,12
"MLY-PRCP-NORMAL","Lane","GHCND:USC00352973",8212,12
"MLY-PRCP-NORMAL","Lane","GHCND:USC00353995",7099,12
"MLY-PRCP-NORMAL","Lane","GHCND:USC00354811",6755,12
"MLY-PRCP-NORMAL","Lane","GHCND:USC00355050",4647,12
"MLY-PRCP-NORMAL","Lane","GHCND:USC00355204",8189,12
"MLY-PRCP-NORMAL","Lane","GHCND:USC00355362",6835,12
"MLY-PRCP-NORMAL","Lane","GHCND:USC00356213",4541,12
"MLY-PRCP-NORMAL","Lane","GHCND:USW00024221",4610,12
"MLY-PRCP-NORMAL","Lincoln","GHCND:USC00350145",8975,12
"MLY-PRCP-NORMAL","Lincoln","GHCND:USC00356366",9499,12
"MLY-PRCP-NORMAL","Lincoln","GHCND:USW00024285",6723,12
"MLY-PRCP-NORMAL","Linn","GHCND:USC00350652",7401,12
"MLY-PRCP-NORMAL","Linn","GHCND:USC00351433",6446,12
"MLY-PRCP-NORMAL","Linn","GHCND:USC00353047",5473,12
"MLY-PRCP-NORMAL","Linn","GHCND:USC00353971",5068,12
"MLY-PRCP-NORMAL","Linn","GHCND:USC00354606",5721,12
"MLY-PRCP-NORMAL","Linn","GHCND:USC00354819",4642,12
"MLY-PRCP-NORMAL","Linn","GHCND:USC00355221",7224,12
"MLY-PRCP-NORMAL","Linn","GHCND:USC00357127",8676,24
"MLY-PRCP-NORMAL","Linn","GHCND:USC00357554",6566,12
"MLY-PRCP-NORMAL","Linn","GHCND:USC00359083",4549,12
"MLY-PRCP-NORMAL","Malheur","GHCND:USC00352135",1090,12
"MLY-PRCP-NORMAL","Malheur","GHCND:USC00355160",1069,12
"MLY-PRCP-NORMAL","Malheur","GHCND:USC00355335",892,12
"MLY-PRCP-NORMAL","Malheur","GHCND:USC00356179",1037,12
"MLY-PRCP-NORMAL","Malheur","GHCND:USC00356405",968,12
"MLY-PRCP-NORMAL","Malheur","GHCND:USC00357208",1007,12
"MLY-PRCP-NORMAL","Malheur","GHCND:USC00357277",1154,12
"MLY-PRCP-NORMAL","Malheur","GHCND:USC00357310",888,12
"MLY-PRCP-NORMAL","Malheur","GHCND:USC00358797",1002,12
"MLY-PRCP-NORMAL","Malheur","GHCND:USC00359176",1049,12
"MLY-PRCP-NORMAL","Malheur","GHCND:USW00024162",1006,12
"MLY-PRCP-NORMAL","Malheur","GHCND:USW00094107",892,12
"MLY-PRCP-NORMAL","Marion","GHCND:USC00352292",9071,12
"MLY-PRCP-NORMAL","Marion","GHCND:USC00357809",7142,12
"MLY-PRCP-NORMAL","Marion","GHCND:USC00357823",4736,12
"MLY-PRCP-NORMAL","Marion","GHCND:USC00358095",5237,12
"MLY-PRCP-NORMAL","Marion","GHCND:USW00024232",3967,12
"MLY-PRCP-NORMAL","Marion","GHCND:USW00094281",4187,12
"MLY-PRCP-NORMAL","Morrow","GHCND:USC00350858",890,12
"MLY-PRCP-NORMAL","Morrow","GHCND:USC00353827",1400,12
"MLY-PRCP-NORMAL","Morrow","GHCND:USC00354161",1240,12
"MLY-PRCP-NORMAL","Multnomah","GHCND:USC00350897",7752,12
"MLY-PRCP-NORMAL","Multnomah","GHCND:USC00356749",4285,12
"MLY-PRCP-NORMAL","Multnomah","GHCND:USC00356750",4347,12
"MLY-PRCP-NORMAL","Multnomah","GHCND:USW00024229",3603,12
"MLY-PRCP-NORMAL","Multnomah","GHCND:USW00024242",4697,12
"MLY-PRCP-NORMAL","Polk","GHCND:USC00352112",4697,12
"MLY-PRCP-NORMAL","Polk","GHCND:USC00352800",7917,12
"MLY-PRCP-NORMAL","Polk","GHCND:USC00354776",12228,12
"MLY-PRCP-NORMAL","Polk","GHCND:USC00359372",4925,12
"MLY-PRCP-NORMAL","Sherman","GHCND:USC00355734",1138,12
"MLY-PRCP-NORMAL","Sherman","GHCND:USC00359068",1222,12
"MLY-PRCP-NORMAL","Tillamook","GHCND:USC00351682",7996,12
"MLY-PRCP-NORMAL","Tillamook","GHCND:USC00358494",8801,12
"MLY-PRCP-NORMAL","Umatilla","GHCND:USC00353818",981,12
"MLY-PRCP-NORMAL","Umatilla","GHCND:USC00355392",893,12
"MLY-PRCP-NORMAL","Umatilla","GHCND:USC00355394",2905,12
"MLY-PRCP-NORMAL","Umatilla","GHCND:USC00355593",1646,12
"MLY-PRCP-NORMAL","Umatilla","GHCND:USC00356540",1728,12
"MLY-PRCP-NORMAL","Umatilla","GHCND:USC00356541",1480,12
"MLY-PRCP-NORMAL","Umatilla","GHCND:USC00356550",1301,12
"MLY-PRCP-NORMAL","Umatilla","GHCND:USC00356634",1449,12
"MLY-PRCP-NORMAL","Umatilla","GHCND:USC00358726",1680,12
"MLY-PRCP-NORMAL","Umatilla","GHCND:USW00004113",1044,12
"MLY-PRCP-NORMAL","Umatilla","GHCND:USW00024152",3442,12
"MLY-PRCP-NORMAL","Umatilla","GHCND:USW00024155",1266,12
"MLY-PRCP-NORMAL","Union","GHCND:USC00351926",2154,12
"MLY-PRCP-NORMAL","Union","GHCND:USC00354622",1652,12
"MLY-PRCP-NORMAL","Union","GHCND:USC00358746",1440,12
"MLY-PRCP-NORMAL","Wallowa","GHCND:USC00352678",1903,12
"MLY-PRCP-NORMAL","Wallowa","GHCND:USC00354329",1756,12
"MLY-PRCP-NORMAL","Wallowa","GHCND:USC00355067",1672,12
"MLY-PRCP-NORMAL","Wallowa","GHCND:USC00358997",1748,12
"MLY-PRCP-NORMAL","Wasco","GHCND:USC00352440",1378,12
"MLY-PRCP-NORMAL","Wasco","GHCND:USC00358407",1455,12
"MLY-PRCP-NORMAL","Washington","GHCND:USC00352325",4367,12
"MLY-PRCP-NORMAL","Washington","GHCND:USC00352997",4557,12
"MLY-PRCP-NORMAL","Washington","GHCND:USC00355945",4006,12
"MLY-PRCP-NORMAL","Washington","GHCND:USW00094261",3990,12
"MLY-PRCP-NORMAL","Wheeler","GHCND:USC00353038",1524,12
"MLY-PRCP-NORMAL","Wheeler","GHCND:USC00355638",1397,12
